gender,tags,institutionCountry,isYoungResearcher,isITC
Male,wg1 member;wg3 member;wg5 member,France,no,no
Female,wg4 member;wg5 member,Türkiye,yes,yes
Male,wg5 member,Morocco,yes,no
Female,mc member;wg leader;wg1 member;wg4 member;wg5 member,Albania,yes,yes
Female,wg1 member;wg2 member,Türkiye,no,yes
Female,wg3 member,Türkiye,yes,yes
Male,wg1 member;wg3 member,Italy,yes,no
Female,wg2 member;wg3 member,North Macedonia,no,yes
Female,mc member;wg1 member;wg4 member;wg5 member;Co-leader Science Communication Co-ordinator,United Kingdom,yes,no
Female,mc member;wg1 member;wg2 member;wg5 member,Serbia,no,yes
Male,mc member;wg1 member;wg2 member;wg4 member,Italy,no,no
Male,wg1 member;wg3 member;wg5 member,Egypt,no,no
Male,wg1 member;wg3 member;wg5 member,Türkiye,no,yes
Male,wg3 member,Türkiye,no,yes
Female,wg1 member;wg2 member,Türkiye,yes,yes
Female,wg1 member;wg3 member;wg5 member,Türkiye,no,yes
Male,wg1 member;wg4 member,Türkiye,yes,yes
Female,wg1 member;wg4 member,Germany,yes,no
Male,wg1 member,Algeria,yes,no
Male,wg1 member,Georgia,no,yes
Male,wg1 member;wg2 member;wg3 member,Kosovo*,no,no
Female,wg1 member,Türkiye,yes,yes
Male,wg1 member;wg2 member;wg3 member,Germany,yes,no
Male,wg2 member;wg4 member;Co-leader Working Group 4,Germany,yes,no
Female,wg2 member,Portugal,yes,yes
Male,wg3 member;wg4 member;wg5 member,Türkiye,no,yes
Female,wg3 member;wg4 member;wg5 member,Türkiye,no,yes
Female,wg1 member;wg4 member;wg5 member,Türkiye,yes,yes
Female,wg1 member;wg4 member;wg5 member,Serbia,no,yes
Male,wg1 member;wg2 member;wg3 member,France,yes,no
Male,wg1 member;wg2 member;wg5 member,United Kingdom,yes,no
Male,mc member;wg2 member;wg3 member;wg4 member,Ireland,yes,no
Female,mc member;wg1 member;wg5 member;Co-leader Working Group 5 ,Poland,no,yes
Female,wg1 member;wg2 member;wg5 member,Serbia,yes,yes
Male,wg1 member,Lithuania,no,yes
Female,wg4 member,United Kingdom,no,no
Female,wg5 member,South Africa,no,no
Male,mc member,Israel,no,no
Male,wg1 member;wg4 member,Portugal,no,yes
Male,wg3 member,Türkiye,yes,yes
Female,wg3 member;wg4 member;wg5 member,United States,no,no
Female,wg1 member;wg5 member,France,no,no
Female,wg1 member;wg3 member;wg4 member,Lithuania,yes,yes
Female,wg1 member;wg3 member;wg4 member,France,no,no
Female,wg4 member,Belgium,no,no
Female,mc member;wg1 member;wg2 member;wg3 member;wg4 member;wg5 member,France,no,no
Female,wg1 member;wg4 member;wg5 member,Türkiye,no,yes
Male,wg1 member;wg2 member;wg3 member,Italy,yes,no
Female,mc member;wg4 member,Germany,no,no
Female,wg3 member,Germany,yes,no
Male,wg1 member;wg3 member,Germany,no,no
Female,wg4 member,Türkiye,yes,yes
Female,wg1 member;wg2 member,North Macedonia,yes,yes
Female,wg4 member;wg5 member,United Kingdom,yes,no
Male,wg1 member;wg2 member;wg5 member,Romania,no,yes
Male,wg2 member;wg4 member;wg5 member,Türkiye,yes,yes
Male,wg4 member;wg5 member,Türkiye,yes,yes
Female,wg1 member;wg2 member,United Kingdom,yes,no
Female,wg5 member,Ireland,no,no
Male,wg1 member;wg3 member;wg5 member,Nigeria,yes,no
Female,wg2 member;wg3 member;wg5 member,Türkiye,yes,yes
Male,wg1 member,Serbia,yes,yes
Male,mc member;wg1 member,Austria,no,no
Female,wg1 member,Serbia,yes,yes
Female,wg1 member,Moldova,yes,yes
Male,wg2 member;wg3 member,Türkiye,yes,yes
Female,wg2 member;wg3 member,Türkiye,yes,yes
Female,wg2 member;wg3 member;wg5 member,Türkiye,yes,yes
Female,wg1 member;wg3 member,United Kingdom,yes,no
Female,wg3 member,Türkiye,yes,yes
Female,wg1 member;wg2 member;wg3 member,Türkiye,yes,yes
Female,wg2 member;wg5 member,Bosnia & Herzegovina,yes,yes
Male,wg5 member,Türkiye,no,yes
Female,wg1 member;wg4 member,Türkiye,no,yes
Female,wg1 member;wg3 member,Italy,yes,no
Female,wg1 member;wg2 member;wg5 member,Türkiye,yes,yes
Male,wg1 member;wg3 member,Italy,no,no
Female,wg2 member,France,yes,no
Female,wg2 member,Türkiye,no,yes
Male,wg1 member;wg2 member;wg4 member,Italy,yes,no
Female,wg2 member;wg3 member,Spain,yes,no
Female,wg3 member;wg4 member;wg5 member,Türkiye,yes,yes
Male,wg1 member;wg4 member;wg5 member,Türkiye,no,yes
Female,wg2 member;wg4 member,Portugal,no,yes
Male,wg1 member;wg2 member;wg3 member,Lithuania,yes,yes
Male,wg3 member;wg4 member;wg5 member,Türkiye,yes,yes
Male,wg1 member,Austria,no,no
Male,wg3 member;wg5 member,United Kingdom,yes,no
