,WG 1,WG 2,WG 3,WG 4,WG 5
WG 1,0,40,49,43,38
WG 2,40,0,35,17,20
WG 3,49,35,0,30,22
WG 4,43,17,30,0,32
WG 5,38,20,22,32,0
