wg,count
wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,119
wg2_improving_competencies_in_evidence_synthesis,68
wg3_developing_identifying_new_methods_of_evidence_synthesis,88
wg4_capacity_building_with_decision_and_policy_makers,83
wg5_community_building_dissemination_and_communication,71
