WG,Participants,MC,Core,Countries,ITC,MC_rate,Core_rate,ITC_share,Avg_per_country,WG_label
wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,119,0,0,35,79,0.0,0.0,0.6638655462184874,3.4,WG 1
wg3_developing_identifying_new_methods_of_evidence_synthesis,88,0,0,30,62,0.0,0.0,0.7045454545454546,2.933333333333333,WG 3
wg4_capacity_building_with_decision_and_policy_makers,83,0,0,28,54,0.0,0.0,0.6506024096385542,2.9642857142857144,WG 4
wg5_community_building_dissemination_and_communication,71,0,0,22,52,0.0,0.0,0.7323943661971831,3.227272727272727,WG 5
wg2_improving_competencies_in_evidence_synthesis,68,0,0,20,48,0.0,0.0,0.7058823529411765,3.4,WG 2
